KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker,Er_Laast,Status,Alltid_Q1Q2,Alltid_Q3Q4,Rang_Median_Heur,Rekkefolge_Klasse
4222,Bykle,Kristiansand,4958.0,4958.0,True,Ikke påbegynt,False,True,190.0,robust_sen
1108,Sandnes,Stavanger,17326.0,17326.0,True,Ikke påbegynt,False,True,191.0,robust_sen
3228,Nes,Oslo,7813.0,7813.0,False,Ikke påbegynt,False,False,192.0,fleksibel_mellomgruppe
5605,Sør-Varanger,Tromsø,7082.0,7082.0,False,Ikke påbegynt,False,False,193.0,fleksibel_mellomgruppe
1839,Beiarn,Bodø,3086.0,3086.0,True,Ikke påbegynt,False,False,194.0,fleksibel_mellomgruppe
1160,Vindafjord,Stavanger,8327.0,8327.0,True,Ikke påbegynt,False,True,195.0,robust_sen
3316,Modum,Oslo,10613.0,10613.0,False,Påbegynt,False,False,196.0,fleksibel_mellomgruppe
3427,Tynset,Hamar,10498.0,10498.0,True,Ikke påbegynt,False,True,197.0,robust_sen
1813,Brønnøy,Bodø,5124.0,5124.0,False,Ikke påbegynt,False,False,198.0,fleksibel_mellomgruppe
4205,Lindesnes,Kristiansand,30608.0,30608.0,True,Ikke påbegynt,False,True,199.0,robust_sen
1146,Tysvær,Stavanger,7926.0,7926.0,True,Ikke påbegynt,False,True,200.0,robust_sen
5544,Nordreisa - Ráisa - Raisi,Tromsø,4821.0,4821.0,False,Ikke påbegynt,False,False,201.0,fleksibel_mellomgruppe
3326,Hemsedal,Oslo,8110.0,8110.0,False,Ikke påbegynt,False,False,202.0,fleksibel_mellomgruppe
1149,Karmøy,Stavanger,6834.0,6834.0,True,Ikke påbegynt,False,True,203.0,robust_sen
1124,Sola,Stavanger,2924.0,2924.0,True,Ikke påbegynt,False,True,204.0,robust_sen
1848,Steigen,Bodø,4379.0,4379.0,False,Ikke påbegynt,False,False,205.0,fleksibel_mellomgruppe
1106,Haugesund,Stavanger,1601.0,1601.0,True,Ikke påbegynt,False,True,206.0,robust_sen
1151,Utsira,Stavanger,66.0,66.0,True,Ikke påbegynt,False,True,207.0,robust_sen
1145,Bokn,Stavanger,948.0,948.0,True,Ikke påbegynt,False,True,208.0,robust_sen
1127,Randaberg,Stavanger,1161.0,1161.0,True,Ikke påbegynt,False,True,209.0,robust_sen
1144,Kvitsøy,Stavanger,207.0,207.0,True,Ikke påbegynt,False,True,210.0,robust_sen
3320,Flå,Oslo,6856.0,6856.0,False,Ikke påbegynt,False,False,211.0,fleksibel_mellomgruppe
4204,Kristiansand,Kristiansand,27939.0,27939.0,True,Ikke påbegynt,False,True,212.0,robust_sen
3432,Lesja,Hamar,6501.0,6501.0,True,Ikke påbegynt,False,True,213.0,robust_sen
1811,Bindal,Bodø,2467.0,2467.0,False,Ikke påbegynt,False,False,214.0,fleksibel_mellomgruppe
5530,Senja,Tromsø,17646.0,17646.0,False,Ikke påbegynt,False,False,215.0,fleksibel_mellomgruppe
3205,Lillestrøm,Oslo,10677.0,10677.0,False,Ikke påbegynt,False,True,216.0,robust_sen
4225,Lyngdal,Kristiansand,13449.0,13449.0,True,Ikke påbegynt,False,True,217.0,robust_sen
1870,Sortland - Suortá,Bodø,4121.0,4121.0,False,Ikke påbegynt,False,False,218.0,fleksibel_mellomgruppe
3301,Drammen,Oslo,11937.0,11937.0,False,Ikke påbegynt,False,True,219.0,robust_sen
4203,Arendal,Kristiansand,18178.0,18178.0,True,Ikke påbegynt,False,True,220.0,robust_sen
1866,Hadsel,Bodø,4661.0,4661.0,False,Ikke påbegynt,False,False,221.0,fleksibel_mellomgruppe
5603,Hammerfest - Hámmerfeasta,Tromsø,6601.0,6601.0,False,Ikke påbegynt,False,False,222.0,fleksibel_mellomgruppe
3105,Sarpsborg,Oslo,13048.0,13048.0,False,Ikke påbegynt,False,False,223.0,fleksibel_mellomgruppe
3428,Alvdal,Hamar,10557.0,10557.0,True,Ikke påbegynt,False,True,224.0,robust_sen
4219,Evje og Hornnes,Kristiansand,7758.0,7758.0,True,Ikke påbegynt,False,True,225.0,robust_sen
3314,Øvre Eiker,Oslo,6486.0,6486.0,False,Ikke påbegynt,False,True,226.0,robust_sen
1860,Vestvågøy,Bodø,4988.0,4988.0,False,Ikke påbegynt,False,False,227.0,fleksibel_mellomgruppe
1578,Fjord,Molde,5931.0,5931.0,True,Ikke påbegynt,False,False,228.0,fleksibel_mellomgruppe
5624,Lebesby,Tromsø,3191.0,3191.0,False,Påbegynt,False,False,229.0,fleksibel_mellomgruppe
4223,Vennesla,Kristiansand,10530.0,1053.0,True,Påbegynt,False,True,230.0,robust_sen
4224,Åseral,Kristiansand,5558.0,5558.0,True,Ikke påbegynt,False,True,231.0,robust_sen
1865,Vågan,Bodø,4309.0,4309.0,False,Ikke påbegynt,False,True,232.0,robust_sen
3107,Fredrikstad,Oslo,14235.0,14235.0,False,Ikke påbegynt,False,True,233.0,robust_sen
1851,Lødingen,Bodø,2014.0,2014.0,False,Ikke påbegynt,False,False,234.0,fleksibel_mellomgruppe
