KomNr,Kommune,Fylkesnr,Fylke,Kartkontor,Km_Kurve,ArealLand_Km2,Ber_Tidbruk_Min,Ber_Dagsverk,Status,Fremdrift_Prosent,Antall_Lenker,Gjenstaaende_Lenker,Geovekst_Prosjekter,Geovekst_Status,Er_Laast
3420,Elverum,34,Innlandet,Hamar,2046.99,1209.0,2637,6.0,Påbegynt,95.0,11666.0,583.0,LACIIN63,Pågående,True
3421,Trysil,34,Innlandet,Hamar,3173.77,2941.0,4782,11.0,Påbegynt,95.0,16189.0,809.0,LACIIN63,Pågående,True
3422,Åmot,34,Innlandet,Hamar,1496.86,1293.0,2194,5.0,Ikke påbegynt,0.0,9088.0,9088.0,LACIIN63,Pågående,True
3423,Stor-Elvdal,34,Innlandet,Hamar,2621.48,2127.0,3753,9.0,Påbegynt,95.0,13617.0,681.0,"LACHIN42,LACIIN63",Pågående,True
3424,Rendalen,34,Innlandet,Hamar,3235.68,3061.0,4916,11.0,Ikke påbegynt,0.0,11980.0,11980.0,LACHIN42,Pågående,True
3425,Engerdal,34,Innlandet,Hamar,1647.08,1916.0,2735,7.0,Påbegynt,95.0,6538.0,327.0,LACHIN42,Pågående,True
3426,Tolga,34,Innlandet,Hamar,1747.4,1097.0,2293,6.0,Påbegynt,95.0,8559.0,428.0,LACHIN42,Pågående,True
3427,Tynset,34,Innlandet,Hamar,2278.7,1822.0,3245,8.0,Ikke påbegynt,0.0,10498.0,10498.0,LACHIN42,Pågående,True
3428,Alvdal,34,Innlandet,Hamar,2111.75,919.0,2506,6.0,Ikke påbegynt,0.0,10557.0,10557.0,LACHIN42,Pågående,True
3429,Folldal,34,Innlandet,Hamar,1852.43,1260.0,2494,6.0,Påbegynt,95.0,8494.0,425.0,LACHIN42,Pågående,True
3430,Os,34,Innlandet,Hamar,984.16,1007.0,1545,4.0,Påbegynt,95.0,5106.0,255.0,LACHIN42,Pågående,True
3431,Dovre,34,Innlandet,Hamar,1733.34,1349.0,2444,6.0,Ikke påbegynt,0.0,8098.0,8098.0,LACIIN52,Pågående,True
3432,Lesja,34,Innlandet,Hamar,1355.25,2167.0,2635,6.0,Ikke påbegynt,0.0,6501.0,6501.0,LACIIN52,Pågående,True
3433,Skjåk,34,Innlandet,Hamar,1090.6,1965.0,2265,6.0,Ikke påbegynt,0.0,5069.0,5069.0,LACIIN52,Pågående,True
3434,Lom,34,Innlandet,Hamar,1229.92,1887.0,2340,6.0,Ikke påbegynt,0.0,6259.0,6259.0,LACIIN52,Pågående,True
3435,Vågå,34,Innlandet,Hamar,1743.14,1252.0,2390,6.0,Ikke påbegynt,0.0,10194.0,10194.0,LACIIN52,Pågående,True
3436,Nord-Fron,34,Innlandet,Hamar,1952.39,1092.0,2475,6.0,Ikke påbegynt,0.0,12207.0,12207.0,LACIIN52,Pågående,True
3437,Sel,34,Innlandet,Hamar,2052.21,888.0,2432,6.0,Ikke påbegynt,0.0,14777.0,14777.0,LACIIN52,Pågående,True
3438,Sør-Fron,34,Innlandet,Hamar,1345.17,712.0,1679,4.0,Ikke påbegynt,0.0,7916.0,7916.0,LACIIN52,Pågående,True
3439,Ringebu,34,Innlandet,Hamar,2943.26,1221.0,3454,8.0,Ikke påbegynt,0.0,18435.0,18435.0,,,False
3440,Øyer,34,Innlandet,Hamar,1668.43,616.0,1908,5.0,Ikke påbegynt,0.0,10070.0,10070.0,,,False
3441,Gausdal,34,Innlandet,Hamar,2242.52,1146.0,2772,7.0,Ikke påbegynt,0.0,12287.0,12287.0,,,False
3442,Østre Toten,34,Innlandet,Hamar,964.03,485.0,1187,3.0,Ikke påbegynt,0.0,4326.0,4326.0,LACIIN61,Planlagt,True
3443,Vestre Toten,34,Innlandet,Hamar,500.43,233.0,604,2.0,Ikke påbegynt,0.0,3356.0,3356.0,LACIIN61,Planlagt,True
3446,Gran,34,Innlandet,Hamar,1181.75,657.0,1495,4.0,Ikke påbegynt,0.0,8906.0,8906.0,,,False
3447,Søndre Land,34,Innlandet,Hamar,1261.37,659.0,1569,4.0,Ikke påbegynt,0.0,7653.0,7653.0,LACIIN61,Planlagt,True
3448,Nordre Land,34,Innlandet,Hamar,2265.45,920.0,2646,6.0,Ikke påbegynt,0.0,12435.0,12435.0,"LACIIN53,LACIIN61","Planlagt,Pågående",True
