Scenario,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Middels_90,5607,500,1087,1421,1760
Middels_90,5610,500,549,812,1148
Middels_90,5612,500,363,542,796
Middels_90,5614,500,1186,1511,1883
Middels_90,5616,500,1193,1522,1895
Middels_90,5618,500,1168,1481,1834
Middels_90,5620,500,1607,2028,2518
Middels_90,5622,500,581,915,1411
Middels_90,5624,500,979,1261,1607
Middels_90,5626,500,175,222,276
Middels_90,5628,500,662,1012,1343
Middels_90,5630,500,178,223,277
Middels_90,5632,500,178,224,278
Middels_90,5634,500,179,224,279
Middels_90,5636,500,1063,1397,1783
Samferdsel_96,0301,500,219,398,669
Samferdsel_96,1101,500,132,215,333
Samferdsel_96,1103,500,96,165,276
Samferdsel_96,1106,500,311,497,727
Samferdsel_96,1108,500,293,460,671
Samferdsel_96,1111,500,132,217,335
Samferdsel_96,1112,500,131,216,334
Samferdsel_96,1114,500,131,215,332
Samferdsel_96,1119,500,91,172,280
Samferdsel_96,1120,500,128,208,322
Samferdsel_96,1121,500,103,183,292
Samferdsel_96,1122,500,76,151,251
Samferdsel_96,1124,500,308,494,725
Samferdsel_96,1127,500,311,497,728
Samferdsel_96,1130,500,102,185,292
Samferdsel_96,1133,500,74,126,206
Samferdsel_96,1134,500,61,103,181
