KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
5014,Frøya,Trondheim,6058.0,0.0,0.0,2026-05-01,2027-03-10
5020,Osen,Trondheim,2487.0,0.0,0.0,2026-05-01,2027-03-15
5021,Oppdal,Trondheim,37049.0,37049.0,153.77,2026-05-29,2027-09-15
5022,Rennebu,Trondheim,9074.0,0.0,0.0,2026-05-01,2027-03-26
5025,Rosse - Røros,Trondheim,11912.0,11912.0,102.57,2026-06-18,2028-02-07
5026,Holtålen,Trondheim,6292.0,6292.0,56.5,2026-11-02,2030-07-11
5027,Midtre Gauldal,Trondheim,13652.0,13652.0,98.7,2027-02-09,2032-04-12
5028,Melhus,Trondheim,7720.0,7720.0,47.83,2027-02-18,2032-06-03
5029,Skaun,Trondheim,4079.0,4079.0,20.8,2027-03-01,2032-08-11
5031,Malvik,Trondheim,3146.0,0.0,0.0,2026-05-01,2027-03-31
5032,Selbu,Trondheim,6104.0,6104.0,55.73,2026-11-12,2030-09-17
5033,Tydal,Trondheim,9999.0,9999.0,64.37,2026-08-27,2029-07-11
5034,Meråker,Trondheim,7116.0,7116.0,60.6,2026-09-08,2029-09-12
5035,Stjørdal,Trondheim,13808.0,13808.0,75.67,2026-08-03,2028-11-21
5036,Frosta,Trondheim,2623.0,0.0,0.0,2026-05-01,2027-04-05
5037,Levanger,Trondheim,12304.0,0.0,0.0,2026-05-01,2027-04-21
5038,Verdal,Trondheim,9686.0,7264.0,56.82,2026-10-22,2030-05-06
5041,Snåase - Snåsa,Trondheim,5861.0,5861.0,82.2,2026-07-03,2028-04-14
5042,Lierne,Trondheim,2972.0,2972.0,81.63,2026-07-20,2028-08-03
5043,Raarvihke - Røyrvik,Trondheim,772.0,772.0,34.53,2026-12-21,2031-04-23
5044,Namsskogan,Trondheim,2245.0,2245.0,41.63,2026-11-30,2030-12-25
5045,Grong,Trondheim,4904.0,4904.0,51.4,2026-11-23,2030-11-08
5046,Høylandet,Trondheim,2199.0,2199.0,26.03,2027-02-24,2032-07-23
5047,Overhalla,Trondheim,3968.0,3968.0,33.77,2026-12-25,2031-06-24
5049,Flatanger,Trondheim,1418.0,1390.0,15.36,2027-03-03,2032-08-25
5052,Leka,Trondheim,743.0,0.0,0.0,2026-05-01,2027-04-22
5053,Inderøy,Trondheim,7306.0,7306.0,35.27,2026-12-14,2031-02-20
5054,Indre Fosen,Trondheim,9918.0,9918.0,72.0,2026-08-17,2029-03-16
5055,Heim,Trondheim,10013.0,10013.0,59.33,2026-10-12,2030-02-27
5056,Hitra,Trondheim,8759.0,8759.0,40.63,2026-12-08,2031-02-06
5057,Ørland,Trondheim,3888.0,0.0,0.0,2026-05-01,2027-04-28
5058,Åfjord,Trondheim,8387.0,8387.0,60.23,2026-09-18,2029-10-10
5059,Orkland,Trondheim,21540.0,21540.0,115.03,2027-01-21,2031-11-20
5060,Nærøysund,Trondheim,7867.0,7867.0,59.1,2026-05-01,2027-05-10
5061,Rindal,Trondheim,4368.0,4368.0,33.77,2027-02-18,2032-06-09
5501,Tromsø,Tromsø,27947.0,27947.0,127.2,2027-12-20,2035-08-06
5503,Harstad - Hárstták,Tromsø,16861.0,16861.0,54.57,2028-01-27,2035-10-08
5510,Kvæfjord,Tromsø,5849.0,0.0,0.0,2026-05-01,2027-05-17
5512,Dielddanuorri - Tjeldsund,Tromsø,8058.0,8058.0,48.53,2027-09-15,2034-12-28
