KomNr,Kommune,Hjemmekontor,Kartkontor_MIP,Omfordelt,Timer,Lenker,Ferdigdato_Kartkontor_Mnd,Ferdigdato_Kartkontor,Ferdigdato_NVDB_Mnd,Ferdigdato_NVDB
5029,Skaun,Trondheim,Skien,True,10.4,4079.0,0,2026-05-15,5,2026-10-15
5032,Selbu,Trondheim,Oslo,True,27.87,6104.0,1,2026-06-15,7,2026-12-15
5033,Tydal,Trondheim,Molde,True,32.18,9999.0,2,2026-07-15,10,2027-03-15
5034,Meråker,Trondheim,Bodø,True,30.3,7116.0,0,2026-05-15,5,2026-10-15
5035,Stjørdal,Trondheim,Skien,True,37.83,13808.0,4,2026-09-15,19,2027-12-15
5038,Verdal,Trondheim,Trondheim,False,28.41,9686.0,3,2026-08-15,15,2027-08-15
5041,Snåase - Snåsa,Trondheim,Trondheim,False,41.1,5861.0,2,2026-07-15,10,2027-03-15
5042,Lierne,Trondheim,Hamar,True,40.82,2972.0,1,2026-06-15,7,2026-12-15
5043,Raarvihke - Røyrvik,Trondheim,Trondheim,False,17.27,772.0,1,2026-06-15,7,2026-12-15
5044,Namsskogan,Trondheim,Kristiansand,True,20.82,2245.0,2,2026-07-15,10,2027-03-15
5045,Grong,Trondheim,Trondheim,False,25.7,4904.0,2,2026-07-15,10,2027-03-15
5046,Høylandet,Trondheim,Kristiansand,True,13.02,2199.0,2,2026-07-15,10,2027-03-15
5047,Overhalla,Trondheim,Kristiansand,True,16.88,3968.0,2,2026-07-15,10,2027-03-15
5049,Flatanger,Trondheim,Bergen,True,7.68,1418.0,1,2026-06-15,7,2026-12-15
5053,Inderøy,Trondheim,Kristiansand,True,17.63,7306.0,3,2026-08-15,15,2027-08-15
5054,Indre Fosen,Trondheim,Trondheim,False,36.0,9918.0,0,2026-05-15,5,2026-10-15
5055,Heim,Trondheim,Molde,True,29.67,10013.0,3,2026-08-15,15,2027-08-15
5056,Hitra,Trondheim,Molde,True,20.32,8759.0,0,2026-05-15,5,2026-10-15
5058,Åfjord,Trondheim,Hamar,True,30.12,8387.0,1,2026-06-15,7,2026-12-15
5059,Orkland,Trondheim,Bergen,True,57.52,21540.0,0,2026-05-15,6,2026-11-15
5061,Rindal,Trondheim,Molde,True,16.88,4368.0,2,2026-07-15,11,2027-04-15
5501,Tromsø,Tromsø,Bergen,True,63.6,27947.0,4,2026-09-15,19,2027-12-15
5503,Harstad - Hárstták,Tromsø,Stavanger,True,27.28,16861.0,4,2026-09-15,19,2027-12-15
5512,Dielddanuorri - Tjeldsund,Tromsø,Bodø,True,24.27,8058.0,3,2026-08-15,15,2027-08-15
5514,Ibestad,Tromsø,Trondheim,True,8.68,3259.0,2,2026-07-15,11,2027-04-15
5516,Gratangen,Tromsø,Trondheim,True,7.82,2092.0,1,2026-06-15,7,2026-12-15
5518,Loabák - Lavangen,Tromsø,Tromsø,False,7.17,1546.0,2,2026-07-15,11,2027-04-15
5520,Bardu,Tromsø,Bodø,True,43.93,6502.0,1,2026-06-15,8,2027-01-15
5522,Salangen,Tromsø,Trondheim,True,11.93,2841.0,1,2026-06-15,8,2027-01-15
5524,Målselv,Tromsø,Skien,True,7.16,14811.0,5,2026-10-15,24,2028-05-15
5526,Sørreisa,Tromsø,Trondheim,True,10.53,3369.0,2,2026-07-15,11,2027-04-15
5528,Dyrøy,Tromsø,Molde,True,0.76,1965.0,5,2026-10-15,24,2028-05-15
