KomNr,Kommune,Kartkontor,Antall_Lenker,Gjenstaaende_Lenker_Start,Timer_Start,Ferdigdato_Kartkontor,Ferdigdato_NVDB
4649,Stad,Bergen,12853.0,12853.0,43.77,2027-05-27,2031-11-26
4650,Gloppen,Bergen,7841.0,7841.0,36.75,2027-06-07,2031-12-25
4651,Stryn,Bergen,7377.0,7377.0,45.88,2027-05-05,2031-08-29
5001,Trondheim - Tråante,Trondheim,20525.0,20525.0,44.65,2026-09-04,2028-10-26
5006,Steinkjer,Trondheim,15485.0,0.0,0.0,2026-05-01,2026-11-12
5007,Namsos - Nåavmesjenjaelmie,Trondheim,9057.0,0.0,0.0,2026-05-01,2026-11-20
5014,Frøya,Trondheim,6058.0,0.0,0.0,2026-05-01,2026-11-26
5020,Osen,Trondheim,2487.0,0.0,0.0,2026-05-01,2026-11-27
5021,Oppdal,Trondheim,37049.0,37049.0,115.33,2026-05-25,2027-04-01
5022,Rennebu,Trondheim,9074.0,0.0,0.0,2026-05-01,2026-12-08
5025,Rosse - Røros,Trondheim,11912.0,11912.0,76.92,2026-06-15,2027-07-23
5026,Holtålen,Trondheim,6292.0,6292.0,42.38,2026-10-01,2029-02-12
5027,Midtre Gauldal,Trondheim,13652.0,13652.0,74.03,2027-01-26,2030-08-01
5028,Melhus,Trondheim,7720.0,7720.0,35.88,2027-02-03,2030-09-10
5029,Skaun,Trondheim,4079.0,4079.0,15.6,2027-02-05,2030-09-20
5031,Malvik,Trondheim,3146.0,0.0,0.0,2026-05-01,2026-12-10
5032,Selbu,Trondheim,6104.0,6104.0,41.8,2026-10-09,2029-03-15
5033,Tydal,Trondheim,9999.0,9999.0,48.27,2026-08-10,2028-06-27
5034,Meråker,Trondheim,7116.0,7116.0,45.45,2026-08-19,2028-07-27
5035,Stjørdal,Trondheim,13808.0,13808.0,56.75,2026-07-21,2028-03-07
5036,Frosta,Trondheim,2623.0,0.0,0.0,2026-05-01,2026-12-11
5037,Levanger,Trondheim,12304.0,0.0,0.0,2026-05-01,2026-12-24
5038,Verdal,Trondheim,9686.0,7264.0,42.62,2026-09-23,2029-01-17
5041,Snåase - Snåsa,Trondheim,5861.0,5861.0,61.65,2026-06-26,2027-10-08
5042,Lierne,Trondheim,2972.0,2972.0,61.23,2026-07-09,2027-12-10
5043,Raarvihke - Røyrvik,Trondheim,772.0,772.0,25.9,2026-11-09,2029-08-09
5044,Namsskogan,Trondheim,2245.0,2245.0,31.23,2026-10-23,2029-05-18
5045,Grong,Trondheim,4904.0,4904.0,38.55,2026-10-16,2029-04-12
5046,Høylandet,Trondheim,2199.0,2199.0,19.52,2026-11-23,2029-10-22
5047,Overhalla,Trondheim,3968.0,3968.0,25.32,2026-11-13,2029-09-28
5049,Flatanger,Trondheim,1418.0,1390.0,11.52,2026-11-25,2029-10-26
5052,Leka,Trondheim,743.0,0.0,0.0,2026-05-01,2026-12-24
5053,Inderøy,Trondheim,7306.0,7306.0,26.45,2026-11-04,2029-08-06
5054,Indre Fosen,Trondheim,9918.0,9918.0,54.0,2026-07-30,2028-05-10
5055,Heim,Trondheim,10013.0,10013.0,44.5,2026-09-15,2028-12-19
5056,Hitra,Trondheim,8759.0,8759.0,30.48,2026-10-29,2029-06-14
5057,Ørland,Trondheim,3888.0,0.0,0.0,2026-05-01,2026-12-29
5058,Åfjord,Trondheim,8387.0,8387.0,45.17,2026-08-27,2028-09-04
5059,Orkland,Trondheim,21540.0,21540.0,86.28,2027-01-12,2030-05-08
5060,Nærøysund,Trondheim,7867.0,7867.0,44.33,2026-05-01,2027-01-05
5061,Rindal,Trondheim,4368.0,4368.0,25.32,2026-11-18,2029-10-03
5501,Tromsø,Tromsø,27947.0,27947.0,95.4,2027-08-19,2032-06-18
5503,Harstad - Hárstták,Tromsø,16861.0,16861.0,40.92,2027-09-20,2032-07-30
5510,Kvæfjord,Tromsø,5849.0,0.0,0.0,2026-05-01,2027-01-11
5512,Dielddanuorri - Tjeldsund,Tromsø,8058.0,8058.0,36.4,2027-05-28,2031-12-18
