Scenario,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Middels_90,3436,500,906,1861,3090
Middels_90,3437,500,837,1919,3066
Middels_90,3438,500,1000,2126,3276
Middels_90,3439,500,223,536,1145
Middels_90,3440,500,338,848,1455
Middels_90,3441,500,255,682,1280
Middels_90,3442,500,684,1800,2700
Middels_90,3443,500,904,1847,2748
Middels_90,3446,500,415,955,1578
Middels_90,3447,500,537,1752,2695
Middels_90,3448,500,961,2044,2982
Middels_90,3449,500,278,708,1278
Middels_90,3450,500,1069,2225,3332
Middels_90,3451,500,895,1943,3169
Middels_90,3452,500,439,978,1558
Middels_90,3453,500,408,918,1523
Middels_90,3454,500,319,824,1411
Middels_90,3901,500,1026,2092,3108
Middels_90,3903,500,977,1999,2958
Middels_90,3905,500,986,2015,3009
Middels_90,3907,500,956,1994,2974
Middels_90,3909,500,926,1916,2867
Middels_90,3911,500,1025,2089,3099
Middels_90,4001,500,1011,2056,3085
Middels_90,4003,500,948,1960,2925
Middels_90,4005,500,187,414,717
Middels_90,4010,500,265,578,934
Middels_90,4012,500,1019,2075,3070
Middels_90,4014,500,991,2040,3077
Middels_90,4016,500,941,1935,2909
Middels_90,4018,500,989,2035,3053
Middels_90,4020,500,76,159,236
Middels_90,4022,500,192,454,781
Middels_90,4024,500,200,466,815
Middels_90,4026,500,147,312,525
Middels_90,4028,500,222,510,851
Middels_90,4030,500,205,468,829
Middels_90,4032,500,954,1956,2945
Middels_90,4034,500,955,1971,2951
Middels_90,4036,500,908,1864,2770
Middels_90,4201,500,284,658,1056
Middels_90,4202,500,312,658,1083
Middels_90,4203,500,738,1574,2356
Middels_90,4204,500,757,1481,2250
Middels_90,4205,500,690,1445,2139
Middels_90,4206,500,290,640,1040
Middels_90,4207,500,440,913,1389
Middels_90,4211,500,376,757,1152
Middels_90,4212,500,241,573,945
Middels_90,4213,500,262,608,1001
Middels_90,4214,500,377,754,1148
Middels_90,4215,500,320,689,1081
Middels_90,4216,500,186,452,840
Middels_90,4217,500,165,382,725
Middels_90,4218,500,375,746,1144
Middels_90,4219,500,755,1580,2363
Middels_90,4220,500,174,406,773
Middels_90,4221,500,440,890,1342
Middels_90,4222,500,618,1283,1904
Middels_90,4223,500,795,1636,2469
Middels_90,4224,500,758,1581,2385
Middels_90,4225,500,739,1541,2327
Middels_90,4226,500,80,164,243
Middels_90,4227,500,179,410,763
Middels_90,4228,500,445,867,1343
Middels_90,4601,500,968,2161,3218
Middels_90,4602,500,653,2091,3210
Middels_90,4611,500,443,988,1586
Middels_90,4612,500,1056,2232,3343
Middels_90,4613,500,1083,2256,3370
Middels_90,4614,500,1059,2243,3360
Middels_90,4615,500,81,168,250
Middels_90,4616,500,86,175,259
Middels_90,4617,500,439,947,1482
Middels_90,4618,500,192,437,893
Middels_90,4619,500,395,880,1397
Middels_90,4620,500,535,1104,1649
Middels_90,4621,500,240,546,1092
Middels_90,4622,500,478,1009,1559
Middels_90,4623,500,565,1177,1750
Middels_90,4624,500,493,1060,1588
Middels_90,4625,500,86,178,263
Middels_90,4626,500,493,1067,1635
Middels_90,4627,500,557,1186,1768
Middels_90,4628,500,1012,2051,3059
Middels_90,4629,500,87,179,265
Middels_90,4630,500,1018,2069,3076
Middels_90,4631,500,995,2028,3037
Middels_90,4632,500,583,1201,1785
Middels_90,4633,500,87,179,266
Middels_90,4634,500,1010,2074,3104
Middels_90,4635,500,1013,2076,3125
Middels_90,4636,500,573,1196,1776
Middels_90,4637,500,555,1171,1748
Middels_90,4638,500,936,2185,3280
Middels_90,4639,500,656,2145,3254
Middels_90,4640,500,390,1087,2931
Middels_90,4641,500,514,1627,3113
Middels_90,4642,500,670,2078,3198
Middels_90,4643,500,500,1070,1615
Middels_90,4644,500,346,873,2806
Middels_90,4645,500,546,1145,1697
Middels_90,4646,500,549,1144,1712
Middels_90,4647,500,214,526,1155
Middels_90,4648,500,902,2199,3323
Middels_90,4649,500,397,1564,3108
Middels_90,4650,500,606,2041,3232
Middels_90,4651,500,458,1411,3083
