uke_aar,uke_nr,Kartkontor,Timer_Brukt,Kapasitet_Timer_Uke,Utnyttelse
2027,12,Tromsø,0.0,25.24,0.0
2027,13,Oslo,0.0,21.63,0.0
2027,13,Hamar,18.03,18.03,1.0
2027,13,Skien,0.0,28.85,0.0
2027,13,Kristiansand,0.0,21.63,0.0
2027,13,Stavanger,0.0,20.19,0.0
2027,13,Bergen,11.54,28.85,0.4
2027,13,Molde,0.0,18.03,0.0
2027,13,Trondheim,0.0,37.5,0.0
2027,13,Bodø,0.0,15.87,0.0
2027,13,Tromsø,0.0,25.24,0.0
2027,14,Oslo,0.0,21.63,0.0
2027,14,Hamar,18.03,18.03,1.0
2027,14,Skien,0.0,28.85,0.0
2027,14,Kristiansand,0.0,21.63,0.0
2027,14,Stavanger,0.0,20.19,0.0
2027,14,Bergen,28.85,28.85,1.0
2027,14,Molde,0.0,18.03,0.0
2027,14,Trondheim,0.0,37.5,0.0
2027,14,Bodø,0.0,15.87,0.0
2027,14,Tromsø,0.0,25.24,0.0
2027,15,Oslo,0.0,21.63,0.0
2027,15,Hamar,18.03,18.03,1.0
2027,15,Skien,0.0,28.85,0.0
2027,15,Kristiansand,0.0,21.63,0.0
2027,15,Stavanger,0.0,20.19,0.0
2027,15,Bergen,28.85,28.85,1.0
2027,15,Molde,0.0,18.03,0.0
2027,15,Trondheim,0.0,37.5,0.0
2027,15,Bodø,0.0,15.87,0.0
2027,15,Tromsø,0.0,25.24,0.0
2027,16,Oslo,0.0,21.63,0.0
2027,16,Hamar,18.03,18.03,1.0
2027,16,Skien,0.0,28.85,0.0
2027,16,Kristiansand,0.0,21.63,0.0
2027,16,Stavanger,0.0,20.19,0.0
2027,16,Bergen,28.85,28.85,1.0
2027,16,Molde,0.0,18.03,0.0
2027,16,Trondheim,0.0,37.5,0.0
2027,16,Bodø,0.0,15.87,0.0
2027,16,Tromsø,0.0,25.24,0.0
2027,17,Oslo,0.0,21.63,0.0
2027,17,Hamar,18.03,18.03,1.0
2027,17,Skien,0.0,28.85,0.0
2027,17,Kristiansand,0.0,21.63,0.0
2027,17,Stavanger,0.0,20.19,0.0
2027,17,Bergen,28.85,28.85,1.0
2027,17,Molde,0.0,18.03,0.0
2027,17,Trondheim,0.0,37.5,0.0
2027,17,Bodø,0.0,15.87,0.0
2027,17,Tromsø,0.0,25.24,0.0
2027,18,Oslo,0.0,21.63,0.0
2027,18,Hamar,18.03,18.03,1.0
2027,18,Skien,0.0,28.85,0.0
2027,18,Kristiansand,0.0,21.63,0.0
2027,18,Stavanger,0.0,20.19,0.0
2027,18,Bergen,28.85,28.85,1.0
2027,18,Molde,0.0,18.03,0.0
2027,18,Trondheim,0.0,37.5,0.0
2027,18,Bodø,0.0,15.87,0.0
2027,18,Tromsø,0.0,25.24,0.0
2027,19,Oslo,0.0,21.63,0.0
2027,19,Hamar,18.03,18.03,1.0
2027,19,Skien,0.0,28.85,0.0
2027,19,Kristiansand,0.0,21.63,0.0
2027,19,Stavanger,0.0,20.19,0.0
2027,19,Bergen,28.85,28.85,1.0
2027,19,Molde,0.0,18.03,0.0
2027,19,Trondheim,0.0,37.5,0.0
2027,19,Bodø,0.0,15.87,0.0
2027,19,Tromsø,0.0,25.24,0.0
2027,20,Oslo,0.0,21.63,0.0
2027,20,Hamar,18.03,18.03,1.0
2027,20,Skien,0.0,28.85,0.0
2027,20,Kristiansand,0.0,21.63,0.0
2027,20,Stavanger,0.0,20.19,0.0
2027,20,Bergen,8.59,28.85,0.298
2027,20,Molde,0.0,18.03,0.0
2027,20,Trondheim,0.0,37.5,0.0
2027,20,Bodø,0.0,15.87,0.0
2027,20,Tromsø,0.0,25.24,0.0
2027,21,Oslo,0.0,21.63,0.0
2027,21,Hamar,18.03,18.03,1.0
2027,21,Skien,0.0,28.85,0.0
2027,21,Kristiansand,0.0,21.63,0.0
2027,21,Stavanger,0.0,20.19,0.0
2027,21,Bergen,0.0,28.85,0.0
2027,21,Molde,0.0,18.03,0.0
2027,21,Trondheim,0.0,37.5,0.0
2027,21,Bodø,0.0,15.87,0.0
2027,21,Tromsø,0.0,25.24,0.0
2027,22,Oslo,0.0,21.63,0.0
2027,22,Hamar,18.03,18.03,1.0
2027,22,Skien,0.0,28.85,0.0
